StateAndCounty,State,StateAbbr,County,Population,HousingUnits,AreaInSqMiTotal,AreaInSqMiWater,AreaInSqMiLand,PopPerSqMiLand,HousingUnitsPerSqMiOfLand,LandWatchURL
CO-Ouray_County,Colorado,CO,Ouray_County,4436,3083,542.21,0.62,541.59,8.2,5.7,https://www.landwatch.com/Colorado_land_for_sale/Ouray_County/Land
CO-Otero_County,Colorado,CO,Otero_County,18831,8969,1269.7,7.74,1261.96,14.9,7.1,https://www.landwatch.com/Colorado_land_for_sale/Otero_County/Land
CO-Morgan_County,Colorado,CO,Morgan_County,28159,11490,1293.74,13.31,1280.43,22,9,https://www.landwatch.com/Colorado_land_for_sale/Morgan_County/Land
CO-Montrose_County,Colorado,CO,Montrose_County,41276,18250,2242.6,1.9,2240.7,18.4,8.1,https://www.landwatch.com/Colorado_land_for_sale/Montrose_County/Land
CO-Montezuma_County,Colorado,CO,Montezuma_County,25535,12094,2040.15,10.62,2029.53,12.6,6,https://www.landwatch.com/Colorado_land_for_sale/Montezuma_County/Land
CO-Moffat_County,Colorado,CO,Moffat_County,13795,6196,4750.91,7.62,4743.29,2.9,1.3,https://www.landwatch.com/Colorado_land_for_sale/Moffat_County/Land
CO-Mineral_County,Colorado,CO,Mineral_County,712,1201,877.68,2.02,875.67,0.8,1.4,https://www.landwatch.com/Colorado_land_for_sale/Mineral_County/Land
CO-Mesa_County,Colorado,CO,Mesa_County,146723,62644,3341.12,12.15,3328.97,44.1,18.8,https://www.landwatch.com/Colorado_land_for_sale/Mesa_County/Land
CO-Logan_County,Colorado,CO,Logan_County,22709,8981,1844.86,6.32,1838.55,12.4,4.9,https://www.landwatch.com/Colorado_land_for_sale/Logan_County/Land
CO-Lincoln_County,Colorado,CO,Lincoln_County,5467,2420,2586.42,8.8,2577.63,2.1,0.9,https://www.landwatch.com/Colorado_land_for_sale/Lincoln_County/Land
CO-Las_Animas_County,Colorado,CO,Las_Animas_County,15507,8217,4775.35,2.68,4772.67,3.2,1.7,https://www.landwatch.com/Colorado_land_for_sale/Las_Animas_County/Land
CO-Larimer_County,Colorado,CO,Larimer_County,299630,132722,2633.95,37.95,2596,115.4,51.1,https://www.landwatch.com/Colorado_land_for_sale/Larimer_County/Land
CO-Lake_County,Colorado,CO,Lake_County,7310,4271,383.91,7,376.91,19.4,11.3,https://www.landwatch.com/Colorado_land_for_sale/Lake_County/Land
CO-La_Plata_County,Colorado,CO,La_Plata_County,51334,25860,1699.71,7.63,1692.08,30.3,15.3,https://www.landwatch.com/Colorado_land_for_sale/La_Plata_County/Land
CO-Kit_Carson_County,Colorado,CO,Kit_Carson_County,8270,3527,2161.69,0.87,2160.82,3.8,1.6,https://www.landwatch.com/Colorado_land_for_sale/Kit_Carson_County/Land
CO-Kiowa_County,Colorado,CO,Kiowa_County,1398,805,1785.93,18.16,1767.77,0.8,0.5,https://www.landwatch.com/Colorado_land_for_sale/Kiowa_County/Land
CO-Jefferson_County,Colorado,CO,Jefferson_County,534543,229967,774.03,9.82,764.21,699.5,300.9,https://www.landwatch.com/Colorado_land_for_sale/Jefferson_County/Land
CO-Jackson_County,Colorado,CO,Jackson_County,1394,1286,1620.96,7.24,1613.72,0.9,0.8,https://www.landwatch.com/Colorado_land_for_sale/Jackson_County/Land
CO-Huerfano_County,Colorado,CO,Huerfano_County,6711,5075,1593.24,2.24,1591,4.2,3.2,https://www.landwatch.com/Colorado_land_for_sale/Huerfano_County/Land
CO-Hinsdale_County,Colorado,CO,Hinsdale_County,843,1388,1123.17,5.92,1117.25,0.8,1.2,https://www.landwatch.com/Colorado_land_for_sale/Hinsdale_County/Land
CO-Gunnison_County,Colorado,CO,Gunnison_County,15324,11412,3259.63,20.53,3239.1,4.7,3.5,https://www.landwatch.com/Colorado_land_for_sale/Gunnison_County/Land
CO-Grand_County,Colorado,CO,Grand_County,14843,16061,1869.59,23.26,1846.33,8,8.7,https://www.landwatch.com/Colorado_land_for_sale/Grand_County/Land
CO-Gilpin_County,Colorado,CO,Gilpin_County,5441,3560,150.26,0.36,149.9,36.3,23.7,https://www.landwatch.com/Colorado_land_for_sale/Gilpin_County/Land
CO-Garfield_County,Colorado,CO,Garfield_County,56389,23309,2955.84,8.27,2947.56,19.1,7.9,https://www.landwatch.com/Colorado_land_for_sale/Garfield_County/Land
CO-Fremont_County,Colorado,CO,Fremont_County,46824,19242,1533.93,0.86,1533.07,30.5,12.6,https://www.landwatch.com/Colorado_land_for_sale/Fremont_County/Land
CO-Elbert_County,Colorado,CO,Elbert_County,23086,8939,1851.02,0.17,1850.85,12.5,4.8,https://www.landwatch.com/Colorado_land_for_sale/Elbert_County/Land
